Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,10077.89006289605,10098.968950189186,10038.505995664822,10052.658684946548,10052.658684946548,2370
2020-01-02,10033.87322253832,10071.807192869881,10018.998638358864,10043.127791105098,10043.127791105098,2928
2020-01-03,10100.990831452971,10116.93103005007,10078.790270909463,10100.757408332232,10100.757408332232,2636
2020-01-04,10267.081113100008,10279.072699629241,10208.554084043752,10211.187271467456,10211.187271467456,3084
2020-01-05,10234.165809787813,10262.776918582565,10212.665859783274,10232.711279642012,10232.711279642012,4690
2020-01-06,10225.15052414589,10269.601719306336,10198.276161103933,10250.33841225557,10250.33841225557,1091
2020-01-07,10369.7515563224,10378.696067010696,10355.074641732628,10356.808287643224,10356.808287643224,2843
2020-01-08,10428.503798440846,10432.297725802953,10421.97140379954,10426.19100397655,10426.19100397655,1184
2020-01-09,10401.035177844282,10426.548713578344,10379.53621974322,10401.272078534388,10401.272078534388,1727
2020-01-10,10425.186587552344,10465.174123991914,10412.068138105005,10454.308675908089,10454.308675908089,2051
2020-01-11,10403.89053653304,10445.388137366772,10391.78407790863,10425.574045725838,10425.574045725838,2571
2020-01-12,10354.481767247595,10368.606259828572,10325.88000490598,10329.989003942306,10329.989003942306,3419
2020-01-13,10375.180257071635,10399.938092662438,10359.977155850102,10393.970199268588,10393.970199268588,1831
2020-01-14,10185.443819522528,10217.873609234952,10181.647460186638,10199.823010976337,10199.823010976337,4601
2020-01-15,9977.885805590053,10014.500347829715,9963.587191900737,10012.679855761195,10012.679855761195,1344
2020-01-16,9948.319535421087,9978.468053730478,9925.411076452237,9966.067779934341,9966.067779934341,2442
2020-01-17,9859.867819565288,9894.998519364342,9852.119888828673,9878.600071174433,9878.600071174433,2219
2020-01-18,9892.632782641942,9919.96337162612,9878.20919759655,9906.881962402562,9906.881962402562,3125
2020-01-19,9778.079744431352,9800.539909688881,9746.01238192649,9775.772861008396,9775.772861008396,1166
2020-01-20,9682.717033933637,9707.554782569996,9653.206528150831,9673.806040851452,9673.806040851452,4161
2020-01-21,9786.644257044207,9825.811274128842,9761.403553905051,9802.673981907847,9802.673981907847,1263
2020-01-22,9800.779267970378,9801.943656404732,9770.402177723337,9782.847605920153,9782.847605920153,2495
2020-01-23,9796.686831666071,9802.51069477945,9766.571056554896,9789.606884248671,9789.606884248671,2231
2020-01-24,9632.743579610415,9658.76149130924,9631.528304422174,9642.663266031326,9642.663266031326,3771
2020-01-25,9626.736071206962,9654.780732420277,9611.376667820648,9615.064003296915,9615.064003296915,4342
2020-01-26,9578.449375690629,9625.696456380338,9572.357257903026,9600.647753128775,9600.647753128775,2286
2020-01-27,9505.605838055728,9530.881873306282,9452.773274277408,9464.831832015865,9464.831832015865,2529
2020-01-28,9544.804202778954,9553.900448591745,9491.549612948927,9516.921959298701,9516.921959298701,2808
2020-01-29,9451.316283244683,9481.186018674787,9440.928301721046,9468.302581762426,9468.302581762426,3559
2020-01-30,9463.408618448173,9477.529796867651,9440.504972327364,9460.143608132828,9460.143608132828,2877
2020-01-31,9370.387720931969,9392.17169242342,9349.108292087865,9387.450544922924,9387.450544922924,2749
2020-02-01,9566.39034226044,9567.322386167774,9526.02029347725,9543.6057640999,9543.6057640999,2909
2020-02-02,9564.473183976474,9637.377632518443,9553.755924931369,9608.970545534627,9608.970545534627,3623
2020-02-03,9450.809479476047,9466.012538094923,9433.49787922464,9458.791160525017,9458.791160525017,4595
2020-02-04,9551.966310978974,9568.456427387468,9541.698343195281,9561.257960275758,9561.257960275758,3769
2020-02-05,9429.53555492972,9432.036926542783,9408.11527969057,9410.63149184713,9410.63149184713,2335
2020-02-06,9399.581500554386,9473.074557471573,9369.797381208806,9445.21932491326,9445.21932491326,2197
